# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:P'
# Event count (approx.): 62066647788
#
# Overhead  Command  Shared Object                                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.03%  duckdb   duckdb                                                             [.] duckdb::RadixPartitionedHashTable::Sink(duckdb::ExecutionContext&, duckdb::DataChunk&, duckdb::OperatorSinkInput&, duckdb::DataChunk&, duckdb::vector<unsigned long, false> const&) const
     0.03%  duckdb   duckdb                                                             [.] duckdb::UnifiedVectorFormat::UnifiedVectorFormat()
     0.03%  duckdb   libstdc++.so.6.0.33                                                [.] operator new(unsigned long)
     0.03%  duckdb   duckdb                                                             [.] duckdb::FlatVector::IncrementalSelectionVector()
     0.03%  duckdb   duckdb                                                             [.] duckdb::RowMatcher::Match(duckdb::DataChunk&, duckdb::vector<duckdb::TupleDataVectorFormat, true> const&, duckdb::SelectionVector&, unsigned long, duckdb::Vector&, duckdb::SelectionVector*, unsigned long&)
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] __schedule
     0.03%  duckdb   duckdb                                                             [.] duckdb_je_eset_insert
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] native_write_msr
     0.02%  duckdb   duckdb                                                             [.] duckdb::StringHeap::AddBlob(char const*, unsigned long)
     0.02%  duckdb   duckdb                                                             [.] duckdb::PipelineExecutor::Execute(unsigned long)
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] timerqueue_add
     0.02%  duckdb   duckdb                                                             [.] duckdb::VectorCache::ResetFromCache(duckdb::Vector&) const
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] put_prev_entity
     0.02%  duckdb   duckdb                                                             [.] duckdb_je_arena_malloc_hard
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] reweight_entity
     0.02%  duckdb   duckdb                                                             [.] duckdb::ArenaAllocator::AllocateNewBlock(unsigned long)
     0.02%  duckdb   duckdb                                                             [.] void duckdb::AggregateFunction::StateFinalize<long, long, duckdb::(anonymous namespace)::CountFunction>(duckdb::Vector&, duckdb::AggregateInputData&, duckdb::Vector&, unsigned long, unsigned long)
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] perf_adjust_freq_unthr_context
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] read_tsc
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] __hrtimer_next_event_base
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] pick_next_task_fair
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] psi_task_switch
     0.02%  duckdb   libc.so.6                                                          [.] unlink_chunk.isra.0
     0.02%  duckdb   duckdb                                                             [.] duckdb_je_edata_heap_first
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] update_curr_dl_se
     0.02%  duckdb   libc.so.6                                                          [.] pthread_mutex_trylock@@GLIBC_2.34
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] folios_put_refs
     0.02%  duckdb   duckdb                                                             [.] duckdb::ClientBufferManager::Pin(duckdb::shared_ptr<duckdb::BlockHandle, true>&)
     0.02%  duckdb   duckdb                                                             [.] duckdb::vector<duckdb::unique_ptr<duckdb::DataChunk, std::default_delete<duckdb::DataChunk>, true>, true>::AssertIndexInBounds(unsigned long, unsigned long)
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] tick_nohz_handler
     0.02%  duckdb   duckdb                                                             [.] duckdb::StandardColumnData::Scan(duckdb::TransactionData, unsigned long, duckdb::ColumnScanState&, duckdb::Vector&, unsigned long)
     0.02%  duckdb   duckdb                                                             [.] duckdb::ColumnData::HasUpdates() const
     0.02%  duckdb   duckdb                                                             [.] duckdb_je_emap_update_edata_state
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] __hrtimer_run_queues
     0.02%  duckdb   duckdb                                                             [.] duckdb::Vector::~Vector()
     0.02%  duckdb   duckdb                                                             [.] duckdb::DuckTableScanState::TableScanFunc(duckdb::ClientContext&, duckdb::TableFunctionInput&, duckdb::DataChunk&)
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] folio_add_lru
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] __rmqueue_pcplist
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] sched_clock_cpu
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] dl_scaled_delta_exec
     0.02%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::Execute(duckdb::BoundFunctionExpression const&, duckdb::ExpressionState*, duckdb::SelectionVector const*, unsigned long, duckdb::Vector&)
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] __irqentry_text_end
     0.02%  duckdb   duckdb                                                             [.] duckdb::Allocator::AllocateData(unsigned long)
     0.02%  duckdb   duckdb                                                             [.] unsigned long duckdb::TemplatedMatch<true, long, duckdb::NotDistinctFrom>(duckdb::Vector&, duckdb::TupleDataVectorFormat const&, duckdb::SelectionVector&, unsigned long, duckdb::TupleDataLayout const&, duckdb::Vector&, unsigned long, duckdb::vector<duckdb::MatchFunction, true> const&, duckdb::SelectionVector*, unsigned long&)
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] irqentry_enter
     0.02%  duckdb   duckdb                                                             [.] duckdb_je_tcache_gc_event_handler
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] _raw_spin_lock
     0.02%  duckdb   duckdb                                                             [.] duckdb::LogicalType::EqualTypeInfo(duckdb::LogicalType const&) const
     0.02%  duckdb   duckdb                                                             [.] duckdb_je_pa_alloc
     0.02%  duckdb   duckdb                                                             [.] duckdb::ArenaChunk::~ArenaChunk()
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] osq_lock
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] restore_fpregs_from_fpstate
     0.02%  duckdb   duckdb                                                             [.] duckdb::VectorBuffer::CreateConstantVector(duckdb::PhysicalType)
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] ktime_get_update_offsets_now
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] irqentry_exit_to_user_mode
     0.02%  duckdb   duckdb                                                             [.] duckdb_je_arena_extent_dalloc_large_prep
     0.02%  duckdb   duckdb                                                             [.] duckdb::DataChunk::Slice(duckdb::DataChunk const&, duckdb::SelectionVector const&, unsigned long, unsigned long)
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] arch_exit_to_user_mode_prepare.isra.0
     0.02%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::Probe(duckdb::JoinHashTable::ScanStructure&, duckdb::DataChunk&, duckdb::TupleDataChunkState&, duckdb::JoinHashTable::ProbeState&, duckdb::optional_ptr<duckdb::Vector, true>)
     0.02%  duckdb   duckdb                                                             [.] extent_split_interior.constprop.0
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] __calc_delta.constprop.0
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] check_cpu_stall
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] tmigr_requires_handle_remote
     0.02%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleData::AppendUnified(duckdb::PartitionedTupleDataAppendState&, duckdb::DataChunk&, duckdb::SelectionVector const&, unsigned long)
